dist,winner,speedup_ratio,cpp_median_10m,n,decision_note
arcsine,cpp,1.0,10198200.0,100000,ISPC not a candidate
argus,cpp,1.0,3883730.0,100000,ISPC not a candidate
asymmetric,cpp,1.0,3890650.0,100000,ISPC not a candidate
baldingnichols,cpp,1.0,3905480.0,100000,ISPC not a candidate
bates,cpp,1.0,777008.0,100000,ISPC not a candidate
benford,cpp,1.0,2340380.0,100000,ISPC not a candidate
benini,cpp,1.0,3921180.0,100000,ISPC not a candidate
benktander-1st-kind,cpp,1.0,3911380.0,100000,ISPC not a candidate
benktander-2nd-kind,cpp,1.0,3923180.0,100000,ISPC not a candidate
bernoulli,cpp,1.0,183478.0,100000,missing large-n timings
beta-binomial,cpp,1.0,19206100.0,100000,ISPC not a candidate
beta-negative-binomial,cpp,1.0,3937680.0,100000,ISPC not a candidate
beta-prime,cpp,1.0,9681490.0,100000,ISPC not a candidate
beta-rectangular,cpp,1.0,3897630.0,100000,ISPC not a candidate
beta,cpp,1.0,9090410.0,100000,ISPC not a candidate
bingham,cpp,1.0,3903990.0,100000,ISPC not a candidate
binomial,cpp,1.0,4467080.0,100000,missing large-n timings
bivariate-von-mises,cpp,1.0,3928000.0,100000,ISPC not a candidate
borel,cpp,1.0,3935130.0,100000,ISPC not a candidate
burr,cpp,1.0,1396950.0,100000,ISPC not a candidate
cantor,cpp,1.0,3918580.0,100000,ISPC not a candidate
categorical,cpp,1.0,730884.0,100000,ISPC not a candidate
cauchy,cpp,1.0,3035370.0,100000,ISPC not a candidate
chi-squared,cpp,1.0,4814250.0,100000,ISPC not a candidate
chi,cpp,1.0,4996620.0,100000,ISPC not a candidate
circular-uniform,cpp,1.0,146748.0,100000,ISPC not a candidate
complex,cpp,1.0,3927480.0,100000,ISPC not a candidate
continuous-bernoulli,cpp,1.0,3862160.0,100000,ISPC not a candidate
continuous-binomial,cpp,1.0,3939190.0,100000,ISPC not a candidate
conwaymaxwellpoisson,cpp,1.0,3922720.0,100000,ISPC not a candidate
dagum,cpp,1.0,1414670.0,100000,ISPC not a candidate
davis,cpp,1.0,3925450.0,100000,ISPC not a candidate
delaporte,cpp,1.0,3954970.0,100000,ISPC not a candidate
dirac-delta-function,cpp,1.0,0.0,100000,ISPC not a candidate
dirichlet-multinomial,cpp,1.0,3888190.0,100000,ISPC not a candidate
dirichlet,cpp,1.0,3907330.0,100000,ISPC not a candidate
discrete-phase-type,cpp,1.0,3944480.0,100000,ISPC not a candidate
discrete-uniform,cpp,1.0,215286.0,100000,missing large-n timings
discrete-weibull,cpp,1.0,3897020.0,100000,ISPC not a candidate
erlang,cpp,1.0,4878240.0,100000,ISPC not a candidate
ewens,cpp,1.0,3894460.0,100000,ISPC not a candidate
exponential-logarithmic,cpp,1.0,2168240.0,100000,ISPC not a candidate
exponential-power,cpp,1.0,2139380.0,100000,ISPC not a candidate
exponential,cpp,1.0,2146890.0,100000,missing large-n timings
extended-negative-binomial,cpp,1.0,3933120.0,100000,ISPC not a candidate
f,cpp,1.0,9627650.0,100000,ISPC not a candidate
fishers-z,cpp,1.0,3920370.0,100000,ISPC not a candidate
floryschulz,cpp,1.0,3931260.0,100000,ISPC not a candidate
folded-normal,cpp,1.0,27964300.0,100000,ISPC not a candidate
frechet,cpp,1.0,3929530.0,100000,ISPC not a candidate
gamma-gompertz,cpp,1.0,4817970.0,100000,ISPC not a candidate
gamma,cpp,1.0,4798400.0,100000,ISPC not a candidate
gaussian-q,cpp,1.0,3901600.0,100000,ISPC not a candidate
gausskuzmin,cpp,1.0,3925480.0,100000,ISPC not a candidate
generalized-beta,cpp,1.0,3881980.0,100000,ISPC not a candidate
generalized-chi-squared,cpp,1.0,3929960.0,100000,ISPC not a candidate
generalized-dirichlet,cpp,1.0,3896050.0,100000,ISPC not a candidate
generalized-extreme-value,cpp,1.0,3910670.0,100000,ISPC not a candidate
generalized-gamma,cpp,1.0,3911060.0,100000,ISPC not a candidate
generalized-hyperbolic,cpp,1.0,3925150.0,100000,ISPC not a candidate
generalized-logistic-logistic-beta,cpp,1.0,3887170.0,100000,ISPC not a candidate
generalized-normal,cpp,1.0,3902100.0,100000,ISPC not a candidate
generalized-pareto,cpp,1.0,3896750.0,100000,ISPC not a candidate
generalized,cpp,1.0,3912930.0,100000,ISPC not a candidate
geometric-stable,cpp,1.0,3907350.0,100000,ISPC not a candidate
geometric,cpp,1.0,2175110.0,100000,missing large-n timings
gompertz,cpp,1.0,3925780.0,100000,ISPC not a candidate
gumbel,cpp,1.0,1582140.0,100000,ISPC not a candidate
half-logistic,cpp,1.0,990380.0,100000,ISPC not a candidate
half-normal,cpp,1.0,3719150.0,100000,ISPC not a candidate
hartmanwatson,cpp,1.0,3917500.0,100000,ISPC not a candidate
holtsmark,cpp,1.0,3930880.0,100000,ISPC not a candidate
hotellings-t-squared,cpp,1.0,3918440.0,100000,ISPC not a candidate
hyper,cpp,1.0,3920750.0,100000,ISPC not a candidate
hyperbolic-secant,cpp,1.0,3906860.0,100000,ISPC not a candidate
hyperexponential,cpp,1.0,3931330.0,100000,ISPC not a candidate
hypergeometric,cpp,1.0,194266.0,100000,ISPC not a candidate
hypoexponential,cpp,1.0,3911700.0,100000,ISPC not a candidate
inverse-chi-squared,cpp,1.0,4774180.0,100000,ISPC not a candidate
inverse-gamma,cpp,1.0,4807380.0,100000,ISPC not a candidate
inverse-gaussian,cpp,1.0,6032390.0,100000,ISPC not a candidate
inverse-matrix-gamma-distribution,cpp,1.0,3931220.0,100000,ISPC not a candidate
inverse-wishart,cpp,1.0,3921500.0,100000,ISPC not a candidate
irwinhall,cpp,1.0,784190.0,100000,ISPC not a candidate
johnsons-su,cpp,1.0,3918410.0,100000,ISPC not a candidate
kaniadakis-erlang,cpp,1.0,3890340.0,100000,ISPC not a candidate
kaniadakis-exponential,cpp,1.0,3896000.0,100000,ISPC not a candidate
kaniadakis-gamma,cpp,1.0,3897800.0,100000,ISPC not a candidate
kaniadakis-gaussian,cpp,1.0,3925500.0,100000,ISPC not a candidate
kaniadakis-logistic,cpp,1.0,3893440.0,100000,ISPC not a candidate
kaniadakis-weibull,cpp,1.0,3926550.0,100000,ISPC not a candidate
kent,cpp,1.0,3937850.0,100000,ISPC not a candidate
kolmogorov,cpp,1.0,3914380.0,100000,ISPC not a candidate
kumaraswamy,cpp,1.0,3852630.0,100000,ISPC not a candidate
landau,cpp,1.0,3919440.0,100000,ISPC not a candidate
laplace,cpp,1.0,3182730.0,100000,ISPC not a candidate
levy,cpp,1.0,3896130.0,100000,ISPC not a candidate
lkj,cpp,1.0,3902420.0,100000,ISPC not a candidate
log-cauchy,cpp,1.0,3906640.0,100000,ISPC not a candidate
log-laplace,cpp,1.0,3901920.0,100000,ISPC not a candidate
log-logistic,cpp,1.0,3900620.0,100000,ISPC not a candidate
log-normal,cpp,1.0,4384300.0,100000,ISPC not a candidate
log-t,cpp,1.0,3921020.0,100000,ISPC not a candidate
logarithmic,cpp,1.0,2390110.0,100000,ISPC not a candidate
logistic,cpp,1.0,875546.0,100000,ISPC not a candidate
logit-normal,cpp,1.0,4445300.0,100000,ISPC not a candidate
lomax,cpp,1.0,1544080.0,100000,ISPC not a candidate
marchenkopastur,cpp,1.0,3901740.0,100000,ISPC not a candidate
matrix-beta,cpp,1.0,3905180.0,100000,ISPC not a candidate
matrix-exponential,cpp,1.0,3900480.0,100000,ISPC not a candidate
matrix-f,cpp,1.0,3911490.0,100000,ISPC not a candidate
matrix-gamma,cpp,1.0,3919010.0,100000,ISPC not a candidate
matrix-normal,cpp,1.0,3908940.0,100000,ISPC not a candidate
matrix-t,cpp,1.0,3970390.0,100000,ISPC not a candidate
maxwellboltzmann,cpp,1.0,11803000.0,100000,ISPC not a candidate
maxwelljuttner,cpp,1.0,3914840.0,100000,ISPC not a candidate
mittag-leffler,cpp,1.0,3916490.0,100000,ISPC not a candidate
mixed-poisson,cpp,1.0,3927440.0,100000,ISPC not a candidate
multinomial,cpp,1.0,3888880.0,100000,ISPC not a candidate
multivariate-laplace,cpp,1.0,3906430.0,100000,ISPC not a candidate
multivariate-normal,cpp,1.0,3901090.0,100000,ISPC not a candidate
multivariate-stable,cpp,1.0,3920510.0,100000,ISPC not a candidate
multivariate-t,cpp,1.0,3912370.0,100000,ISPC not a candidate
nakagami,cpp,1.0,4883230.0,100000,ISPC not a candidate
negative-binomial,cpp,1.0,11527000.0,100000,ISPC not a candidate
negative-hypergeometric,cpp,1.0,194662.0,100000,ISPC not a candidate
negative-multinomial,cpp,1.0,3912520.0,100000,ISPC not a candidate
noncentral-beta,cpp,1.0,3946530.0,100000,ISPC not a candidate
noncentral-chi-squared,cpp,1.0,7794680.0,100000,ISPC not a candidate
noncentral-f,cpp,1.0,3922770.0,100000,ISPC not a candidate
noncentral-t,cpp,1.0,3898200.0,100000,ISPC not a candidate
normal-gamma,cpp,1.0,3899440.0,100000,ISPC not a candidate
normal-inverse-gamma-distribution,cpp,1.0,3906360.0,100000,ISPC not a candidate
normal-inverse-gaussian,cpp,1.0,3902760.0,100000,ISPC not a candidate
normal-inverse,cpp,1.0,3894960.0,100000,ISPC not a candidate
normal-wishart,cpp,1.0,3892610.0,100000,ISPC not a candidate
normal,cpp,1.0,3822010.0,100000,missing large-n timings
panjer,cpp,1.0,3917940.0,100000,ISPC not a candidate
parabolic-fractal,cpp,1.0,3758490.0,100000,ISPC not a candidate
pareto,cpp,1.0,1467630.0,100000,ISPC not a candidate
pert,cpp,1.0,3940630.0,100000,ISPC not a candidate
phase-type,cpp,1.0,3897180.0,100000,ISPC not a candidate
poisson-binomial,cpp,1.0,858246.0,100000,ISPC not a candidate
poisson,cpp,1.0,3948190.0,100000,ISPC not a candidate
poly-weibull,cpp,1.0,3966560.0,100000,ISPC not a candidate
q-exponential,cpp,1.0,3918680.0,100000,ISPC not a candidate
q-gaussian,cpp,1.0,3895420.0,100000,ISPC not a candidate
q-weibull,cpp,1.0,3884470.0,100000,ISPC not a candidate
rademacher,cpp,1.0,1044890.0,100000,ISPC not a candidate
raised-cosine,cpp,1.0,2671690.0,100000,ISPC not a candidate
rayleigh,cpp,1.0,2192510.0,100000,ISPC not a candidate
reciprocal,cpp,1.0,554624.0,100000,ISPC not a candidate
rectified-gaussian,cpp,1.0,3910730.0,100000,ISPC not a candidate
relativistic-breitwigner,cpp,1.0,3904220.0,100000,ISPC not a candidate
rice,cpp,1.0,3930910.0,100000,ISPC not a candidate
scaled-inverse-chi-squared,cpp,1.0,4775630.0,100000,ISPC not a candidate
shifted-log-logistic,cpp,1.0,3907010.0,100000,ISPC not a candidate
shifted,cpp,1.0,3922030.0,100000,ISPC not a candidate
skellam,cpp,1.0,6709450.0,100000,ISPC not a candidate
skew-normal,cpp,1.0,7933220.0,100000,ISPC not a candidate
slash,cpp,1.0,3916880.0,100000,ISPC not a candidate
soliton,cpp,1.0,3782930.0,100000,ISPC not a candidate
stable,cpp,1.0,3921130.0,100000,ISPC not a candidate
student-t,cpp,1.0,8673020.0,100000,ISPC not a candidate
tracywidom,cpp,1.0,3901480.0,100000,ISPC not a candidate
triangular,cpp,1.0,1098850.0,100000,ISPC not a candidate
truncated-normal,cpp,1.0,3947550.0,100000,ISPC not a candidate
tukey-lambda,cpp,1.0,3941580.0,100000,ISPC not a candidate
type-2-gumbel,cpp,1.0,3920090.0,100000,ISPC not a candidate
u-quadratic,cpp,1.0,133278.0,100000,ISPC not a candidate
uniform-distribution-on-a-stiefel-manifold,cpp,1.0,3903490.0,100000,ISPC not a candidate
uniform,cpp,1.0,132360.0,100000,ISPC not a candidate
univariate-von-mises,cpp,1.0,5237370.0,100000,ISPC not a candidate
variance-gamma,cpp,1.0,3922220.0,100000,ISPC not a candidate
voigt,cpp,1.0,4037250.0,100000,ISPC not a candidate
von-misesfisher,cpp,1.0,3886480.0,100000,ISPC not a candidate
weibull,cpp,1.0,3482670.0,100000,ISPC not a candidate
wigner-semicircle,cpp,1.0,231842.0,100000,ISPC not a candidate
wilkss-lambda,cpp,1.0,4037720.0,100000,ISPC not a candidate
wishart,cpp,1.0,3952740.0,100000,ISPC not a candidate
wrapped-asymmetric-laplace,cpp,1.0,3988610.0,100000,ISPC not a candidate
wrapped-cauchy,cpp,1.0,3915600.0,100000,ISPC not a candidate
wrapped-exponential,cpp,1.0,3929190.0,100000,ISPC not a candidate
wrapped-levy,cpp,1.0,3889910.0,100000,ISPC not a candidate
wrapped-normal,cpp,1.0,3914570.0,100000,ISPC not a candidate
yulesimon,cpp,1.0,7167170.0,100000,ISPC not a candidate
zeta,cpp,1.0,28060600.0,100000,ISPC not a candidate
zipf,cpp,1.0,2007970.0,100000,ISPC not a candidate
zipfmandelbrot,cpp,1.0,918792.0,100000,missing large-n timings
